DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF549,HDA01 - 150W,5C-CF-7F-0A-F5-49,L467,-24.245130,-50.747830,Klabin,HDA-150
000AF55D,HDA01 - 150W,5C-CF-7F-0A-F5-5D,L383,-24.245135,-50.747830,Klabin,HDA-150
000AF67C,HDA01 - 150W,5C-CF-7F-0A-F6-7C,L349,-24.245140,-50.747830,Klabin,HDA-150
000AF69B,HDA01 - 150W,5C-CF-7F-0A-F6-9B,L255,-24.245145,-50.747830,Klabin,HDA-150
0006E4BA,HDA01 - 150W,5C-CF-7F-06-E4-BA,L250,-24.245150,-50.747830,Klabin,HDA-150
000AF630,HDA01 - 150W,5C-CF-7F-0A-F6-30,L368,-24.245155,-50.747830,Klabin,HDA-150
0006E640,HDA01 - 150W,5C-CF-7F-06-E6-40,L079,-24.245160,-50.747830,Klabin,HDA-150
0006E661,HDA01 - 150W,5C-CF-7F-06-E6-61,L247,-24.245165,-50.747830,Klabin,HDA-150
000AF4D8,HDA01 - 150W,5C-CF-7F-0A-F4-D8,L260,-24.245170,-50.747835,Klabin,HDA-150
0006E64E,HDA01 - 150W,5C-CF-7F-06-E6-4E,L359,-24.245175,-50.747835,Klabin,HDA-150
000AF697,HDA01 - 150W,5C-CF-7F-0A-F6-97,L328,-24.245180,-50.747835,Klabin,HDA-150
000AF4E3,HDA01 - 150W,5C-CF-7F-0A-F4-E3,L427,-24.245185,-50.747835,Klabin,HDA-150
0006E74B,HDA01 - 150W,5C-CF-7F-06-E7-4B,L437,-24.245190,-50.747835,Klabin,HDA-150
0006E6B0,HDA01 - 150W,5C-CF-7F-06-E6-B0,L425,-24.245195,-50.747835,Klabin,HDA-150
000AF649,HDA01 - 150W,5C-CF-7F-0A-F6-49,L473,-24.245200,-50.747835,Klabin,HDA-150
000AF532,HDA01 - 150W,5C-CF-7F-0A-F5-32,L446,-24.245205,-50.747835,Klabin,HDA-150
0006E5F9,HDA01 - 150W,5C-CF-7F-06-E5-F9,L440,-24.244970,-50.747835,Klabin,HDA-150
0006E5B7,HDA01 - 150W,5C-CF-7F-06-E5-B7,L456,-24.244975,-50.747835,Klabin,HDA-150
0006E530,HDA01 - 150W,5C-CF-7F-06-E5-30,L276,-24.244980,-50.747840,Klabin,HDA-150
0006E709,HDA01 - 150W,5C-CF-7F-06-E7-09,L245,-24.244985,-50.747790,Klabin,HDA-150
000AF4A5,HDA01 - 150W,5C-CF-7F-0A-F4-A5,L468,-24.244990,-50.747790,Klabin,HDA-150
000AF5E4,HDA01 - 150W,5C-CF-7F-0A-F5-E4,L242,-24.244995,-50.747790,Klabin,HDA-150
000AF484,HDA01 - 150W,5C-CF-7F-0A-F4-84,L416,-24.245000,-50.747790,Klabin,HDA-150
000AF479,HDA01 - 150W,5C-CF-7F-0A-F4-79,L344,-24.245005,-50.747790,Klabin,HDA-150
0006E5F5,HDA01 - 150W,5C-CF-7F-06-E5-F5,L466,-24.245010,-50.747790,Klabin,HDA-150
0006E498,HDA01 - 150W,5C-CF-7F-06-E4-98,L360,-24.245015,-50.747790,Klabin,HDA-150
0006E590,HDA01 - 150W,5C-CF-7F-06-E5-90,L355,-24.245020,-50.747790,Klabin,HDA-150
0006E3E5,HDA01 - 150W,5C-CF-7F-06-E3-E5,L373,-24.245025,-50.747790,Klabin,HDA-150
000AF6A8,HDA01 - 150W,5C-CF-7F-0A-F6-A8,L475,-24.245030,-50.747795,Klabin,HDA-150
000AF68D,HDA01 - 150W,5C-CF-7F-0A-F6-8D,L400,-24.245035,-50.747795,Klabin,HDA-150
0006E5EF,HDA01 - 150W,5C-CF-7F-06-E5-EF,L116,-24.245040,-50.747795,Klabin,HDA-150
